column_name,mean,std,min,max,missing_count
Air Temperature,12.619303180975281,10.438465875892323,-29.78,37.6,75
Wet Bulb Temperature,10.271168589535938,9.406259894794106,-28.9,28.4,75974
Humidity,68.02346626469824,15.632676494242125,0.0,100.0,0
Rain Intensity,0.15889129766680785,1.7938232134552938,0.0,183.6,75974
Interval Rain,0.14232926102654722,1.0967747227092397,-0.9,63.42,0
Total Rain,141.46584602094808,190.44182312145168,0.0,1056.1,75974
Precipitation Type,4.269724984010698,15.593661800967922,0.0,70.0,75974
Wind Direction,140.80112748068666,122.0160005112039,0.0,359.0,0
Wind Speed,2.9186701431503255,5.3411727183415385,0.0,999.9,0
Maximum Wind Speed,3.556488615704268,5.954449950807242,0.0,999.9,0
Barometric Pressure,994.3151828805276,10.028757251361657,0.0,3098.5,146
Solar Radiation,112.33119108607862,842.6939733506393,-100000.0,1277.0,0
Heading,281.9836784530662,142.7601720244862,0.0,359.0,75974
Battery Life,13.163343637169177,1.544621165943104,0.0,15.3,0
